Season,Team,League,Division,GP,W,L,T,OTL,SOL,Pts,Pct,GF,GA,PIM,Atten.,Coach,Result
2020-21,Pittsburgh Penguins,NHL,East,56,37,16,0,2,1,77,0.688,196,156,,,Mike Sullivan,Lost in round 1
2011-12,Carolina Hurricanes,NHL,Southeast,82,33,33,0,10,6,82,0.5,213,243,,16043,"Maurice, Muller {+}",Out of Playoffs
2012-13,Carolina Hurricanes,NHL,Southeast,48,19,25,0,3,1,42,0.438,128,160,,17560,Kirk Muller,Out of Playoffs
2013-14,Carolina Hurricanes,NHL,Metropolitan,82,36,35,0,7,4,83,0.506,207,230,650,15484,Kirk Muller,Out of Playoffs
2014-15,Carolina Hurricanes,NHL,Metropolitan,82,30,41,0,4,7,71,0.433,188,226,,12716,Bill Peters,Out of Playoffs
2015-16,Carolina Hurricanes,NHL,Metropolitan,82,35,31,0,11,5,86,0.524,198,226,,12204,Bill Peters,Out of Playoffs
2016-17,Carolina Hurricanes,NHL,Metropolitan,82,36,31,0,9,6,87,0.53,215,236,,11776,Bill Peters,Out of Playoffs
2017-18,Carolina Hurricanes,NHL,Metropolitan,82,36,35,0,8,3,83,0.506,228,256,,13321,Bill Peters,Out of Playoffs
2018-19,Carolina Hurricanes,NHL,Metropolitan,82,46,29,0,5,2,99,0.604,245,223,,14322,Rod Brind'Amour,Lost in round 3
2019-20,Carolina Hurricanes,NHL,Metropolitan,68,38,25,0,5,0,81,0.596,222,193,,16795,Rod Brind'Amour,Lost in round 2
2020-21,Carolina Hurricanes,NHL,Central,56,36,12,0,6,2,80,0.714,179,136,,,Rod Brind'Amour,Lost in round 2
2011-12,San Jose Sharks,NHL,Pacific,82,43,29,0,5,5,96,0.585,228,210,,17562,Todd McLellan,Lost in round 1
2012-13,San Jose Sharks,NHL,Pacific,48,25,16,0,3,4,57,0.594,124,116,,17562,Todd McLellan,Lost in round 2
2013-14,San Jose Sharks,NHL,Pacific,82,51,22,0,2,7,111,0.677,249,200,737,17562,Todd McLellan,Lost in round 1
2014-15,San Jose Sharks,NHL,Pacific,82,40,33,0,3,6,89,0.543,228,232,,18708,Todd McLellan,Out of Playoffs
2015-16,San Jose Sharks,NHL,Pacific,82,46,30,0,3,3,98,0.598,241,210,,16747,Peter DeBoer,Lost in Finals
2016-17,San Jose Sharks,NHL,Pacific,82,46,29,0,6,1,99,0.604,221,201,,17508,Peter DeBoer,Lost in round 1
2017-18,San Jose Sharks,NHL,Pacific,82,45,27,0,7,3,100,0.61,252,229,,17366,Peter DeBoer,Lost in round 2
2018-19,San Jose Sharks,NHL,Pacific,82,46,27,0,6,3,101,0.616,289,261,,17266,Peter DeBoer,Lost in round 3
2019-20,San Jose Sharks,NHL,Pacific,70,29,36,0,4,1,63,0.45,182,226,,16428,"DeBoer, Boughner {+}",Out of Playoffs
2020-21,San Jose Sharks,NHL,West,56,21,28,0,4,3,49,0.438,151,199,,,Bob Boughner,Out of Playoffs
2011-12,St. Louis Blues,NHL,Central,82,49,22,0,1,10,109,0.665,210,165,,18810,"Payne, Hitchcock {+}",Lost in round 2
2012-13,St. Louis Blues,NHL,Central,48,29,17,0,1,1,60,0.625,129,115,,17901,Ken Hitchcock,Lost in round 1
2013-14,St. Louis Blues,NHL,Central,82,52,23,0,4,3,111,0.677,248,191,1162,17498,Ken Hitchcock,Lost in round 1
2014-15,St. Louis Blues,NHL,Central,82,51,24,0,3,4,109,0.665,248,201,,18545,Ken Hitchcock,Lost in round 1
2015-16,St. Louis Blues,NHL,Central,82,49,24,0,5,4,107,0.652,224,201,,18451,Ken Hitchcock,Lost in round 3
2016-17,St. Louis Blues,NHL,Central,82,46,29,0,5,2,99,0.604,235,218,,19540,"Hitchcock, Yeo {+}",Lost in round 2
2017-18,St. Louis Blues,NHL,Central,82,44,32,0,6,0,94,0.573,226,222,,18357,Mike Yeo,Out of Playoffs
2018-19,St. Louis Blues,NHL,Central,82,45,28,0,6,3,99,0.604,247,223,,17362,"Yeo, Berube {+}",Won Championship
2019-20,St. Louis Blues,NHL,Central,71,42,19,0,7,3,94,0.662,225,193,,18096,Craig Berube,Lost in round 2
2020-21,St. Louis Blues,NHL,West,56,27,20,0,6,3,63,0.563,169,170,,,Craig Berube,Lost in round 1
2011-12,Minnesota Wild,NHL,Northwest,82,35,36,0,2,9,81,0.494,177,226,,17773,Mike Yeo,Out of Playoffs
2012-13,Minnesota Wild,NHL,Northwest,48,26,19,0,1,2,55,0.573,122,127,,18795,Mike Yeo,Lost in round 1
2013-14,Minnesota Wild,NHL,Central,82,43,27,0,4,8,98,0.598,207,206,783,18506,Mike Yeo,Lost in round 2
2014-15,Minnesota Wild,NHL,Central,82,46,28,0,5,3,100,0.61,231,201,,19023,Mike Yeo,Lost in round 2
2015-16,Minnesota Wild,NHL,Central,82,38,33,0,9,2,87,0.53,216,206,,19827,"Yeo, Torchetti {+}",Lost in round 1
2016-17,Minnesota Wild,NHL,Central,82,49,25,0,6,2,106,0.646,266,208,,19070,Bruce Boudreau,Lost in round 1
2017-18,Minnesota Wild,NHL,Central,82,45,26,0,8,3,101,0.616,253,232,,19037,Bruce Boudreau,Lost in round 1
2018-19,Minnesota Wild,NHL,Central,82,37,36,0,5,4,83,0.506,211,237,,18908,Bruce Boudreau,Out of Playoffs
2019-20,Minnesota Wild,NHL,Central,69,35,27,0,4,3,77,0.558,220,220,,17467,"Boudreau, Evason {+}",Lost in round 1
2020-21,Minnesota Wild,NHL,West,56,35,16,0,4,1,75,0.67,181,160,,,Dean Evason,Lost in round 1
2011-12,Tampa Bay Lightning,NHL,Southeast,82,38,36,0,5,3,84,0.512,235,281,,18468,Guy Boucher,Out of Playoffs
2012-13,Tampa Bay Lightning,NHL,Southeast,48,18,26,0,1,3,40,0.417,148,150,,19056,"Boucher, Cooper {+}",Out of Playoffs
2013-14,Tampa Bay Lightning,NHL,Atlantic,82,46,27,0,3,6,101,0.616,240,215,844,18612,Jon Cooper,Lost in round 1
2014-15,Tampa Bay Lightning,NHL,Atlantic,82,50,24,0,3,5,108,0.659,262,211,,18823,Jon Cooper,Lost in Finals
2015-16,Tampa Bay Lightning,NHL,Atlantic,82,46,31,0,2,3,97,0.591,227,201,,19092,Jon Cooper,Lost in round 3
2016-17,Tampa Bay Lightning,NHL,Atlantic,82,42,30,0,7,3,94,0.573,234,227,,19092,Jon Cooper,Out of Playoffs
2017-18,Tampa Bay Lightning,NHL,Atlantic,82,54,23,0,3,2,113,0.689,296,236,,19092,Jon Cooper,Lost in round 3
2018-19,Tampa Bay Lightning,NHL,Atlantic,82,62,16,0,3,1,128,0.78,325,222,,19092,Jon Cooper,Lost in round 1
2019-20,Tampa Bay Lightning,NHL,Atlantic,70,43,21,0,5,1,92,0.657,245,195,,18923,Jon Cooper,Won Championship
2020-21,Tampa Bay Lightning,NHL,Central,56,36,17,0,1,2,75,0.67,181,147,,,Jon Cooper,Won Championship
2011-12,Toronto Maple Leafs,NHL,Northeast,82,35,37,0,5,5,80,0.488,231,264,,19507,"Wilson, Carlyle {+}",Out of Playoffs
2012-13,Toronto Maple Leafs,NHL,Northeast,48,26,17,0,0,5,57,0.594,145,133,,19426,Randy Carlyle,Lost in round 1
2013-14,Toronto Maple Leafs,NHL,Atlantic,82,38,36,0,4,4,84,0.512,231,256,1040,19447,Randy Carlyle,Out of Playoffs
2014-15,Toronto Maple Leafs,NHL,Atlantic,82,30,44,0,3,5,68,0.415,211,262,,19063,"Carlyle, Horachek {+}",Out of Playoffs
2015-16,Toronto Maple Leafs,NHL,Atlantic,82,29,42,0,5,6,69,0.421,198,246,,19158,Mike Babcock,Out of Playoffs
2016-17,Toronto Maple Leafs,NHL,Atlantic,82,40,27,0,7,8,95,0.579,251,242,,19764,Mike Babcock,Lost in round 1
2017-18,Toronto Maple Leafs,NHL,Atlantic,82,49,26,0,5,2,105,0.64,277,232,,19187,Mike Babcock,Lost in round 1
2018-19,Toronto Maple Leafs,NHL,Atlantic,82,46,28,0,6,2,100,0.61,286,251,,19276,Mike Babcock,Lost in round 1
2019-20,Toronto Maple Leafs,NHL,Atlantic,70,36,25,0,4,5,81,0.579,238,227,,19302,"Babcock, Keefe {+}",Lost in round 1
2020-21,Toronto Maple Leafs,NHL,North,56,35,14,0,7,0,77,0.688,187,148,,,Sheldon Keefe,Lost in round 1
2011-12,New York Islanders,NHL,Atlantic,82,34,37,0,7,4,79,0.482,203,255,,13191,Jack Capuano,Out of Playoffs
2012-13,New York Islanders,NHL,Atlantic,48,24,17,0,4,3,55,0.573,139,139,,13307,Jack Capuano,Lost in round 1
2013-14,New York Islanders,NHL,Metropolitan,82,34,37,0,5,6,79,0.482,225,267,1015,14741,Jack Capuano,Out of Playoffs
2014-15,New York Islanders,NHL,Metropolitan,82,47,28,0,1,6,101,0.616,252,230,,15335,Jack Capuano,Lost in round 1
2015-16,New York Islanders,NHL,Metropolitan,82,45,27,0,5,5,100,0.61,232,216,,13627,Jack Capuano,Lost in round 2
2016-17,New York Islanders,NHL,Metropolitan,82,41,29,0,8,4,94,0.573,241,242,,13101,"Capuano, Weight {+}",Out of Playoffs
2017-18,New York Islanders,NHL,Metropolitan,82,35,37,0,7,3,80,0.488,264,296,,12002,Doug Weight,Out of Playoffs
2018-19,New York Islanders,NHL,Metropolitan,82,48,27,0,2,5,103,0.628,228,196,,12443,Barry Trotz,Lost in round 2
2019-20,New York Islanders,NHL,Metropolitan,68,35,23,0,7,3,80,0.588,192,193,,12811,Barry Trotz,Lost in round 4
2020-21,New York Islanders,NHL,East,56,32,17,0,4,3,71,0.634,156,128,,,Barry Trotz,Lost in round 3
2011-12,Vancouver Canucks,NHL,Northwest,82,51,22,0,2,7,111,0.677,249,198,,18884,Alain Vigneault,Lost in round 1
2012-13,Vancouver Canucks,NHL,Northwest,48,26,15,0,1,6,59,0.615,127,121,,18948,Alain Vigneault,Lost in round 1
2013-14,Vancouver Canucks,NHL,Pacific,82,36,35,0,4,7,83,0.506,196,223,1115,19771,John Tortorella,Out of Playoffs
2014-15,Vancouver Canucks,NHL,Pacific,82,48,29,0,3,2,101,0.616,242,222,,18711,Willie Desjardins,Lost in round 1
2015-16,Vancouver Canucks,NHL,Pacific,82,31,38,0,9,4,75,0.457,191,243,,18431,Willie Desjardins,Out of Playoffs
2016-17,Vancouver Canucks,NHL,Pacific,82,30,43,0,7,2,69,0.421,182,243,,18510,Willie Desjardins,Out of Playoffs
2017-18,Vancouver Canucks,NHL,Pacific,82,31,40,0,6,5,73,0.445,218,264,,18079,Travis Green,Out of Playoffs
2018-19,Vancouver Canucks,NHL,Pacific,82,35,36,0,5,6,81,0.494,225,254,,18022,Travis Green,Out of Playoffs
2019-20,Vancouver Canucks,NHL,Pacific,69,36,27,0,3,3,78,0.565,228,217,,18680,Travis Green,Lost in round 3
2020-21,Vancouver Canucks,NHL,North,56,23,29,0,3,1,50,0.446,151,188,,,Travis Green,Out of Playoffs
2011-12,Washington Capitals,NHL,Southeast,82,42,32,0,4,4,92,0.561,222,230,,18506,"Boudreau, Hunter {+}",Lost in round 2
2012-13,Washington Capitals,NHL,Southeast,48,27,18,0,3,0,57,0.594,149,130,,18506,Adam Oates,Lost in round 1
2013-14,Washington Capitals,NHL,Metropolitan,82,38,30,0,3,11,90,0.549,235,240,960,18506,Adam Oates,Out of Playoffs
2014-15,Washington Capitals,NHL,Metropolitan,82,45,26,0,7,4,101,0.616,242,203,,19099,Barry Trotz,Lost in round 2
2015-16,Washington Capitals,NHL,Metropolitan,82,56,18,0,6,2,120,0.732,252,193,,18511,Barry Trotz,Lost in round 2
2016-17,Washington Capitals,NHL,Metropolitan,82,55,19,0,3,5,118,0.72,263,182,,18506,Barry Trotz,Lost in round 2
2017-18,Washington Capitals,NHL,Metropolitan,82,49,26,0,6,1,105,0.64,259,239,,18775,Barry Trotz,Won Championship
2018-19,Washington Capitals,NHL,Metropolitan,82,48,26,0,7,1,104,0.634,278,249,,18508,Todd Reirden,Lost in round 1
2019-20,Washington Capitals,NHL,Metropolitan,69,41,20,0,5,3,90,0.652,240,215,,18573,Todd Reirden,Lost in round 2
2020-21,Washington Capitals,NHL,East,56,36,15,0,3,2,77,0.688,191,163,,,Peter Laviolette,Lost in round 1
